lastUpdated,text,title,url
"  4 September 2022, at 16:20",Title given to a small number of open-source software development leaders,Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
"  21 July 2022, at 20:06",Subculture of individuals,Hacker culture,https://en.wikipedia.org/wiki/Hacker_culture
"  26 June 2022, at 01:43","""",Homesteading the Noosphere,https://en.wikipedia.org/wiki/Homesteading_the_Noosphere
"  22 August 2022, at 20:17",Open-source JavaScript framework for building user interfaces,Vue.js,https://en.wikipedia.org/wiki/Vue.js
"  24 August 2022, at 03:39","American computer programmer, author, and advocate for the open source movement",Eric S. Raymond,https://en.wikipedia.org/wiki/Eric_S._Raymond
"  22 August 2022, at 20:17",Open-source JavaScript framework for building user interfaces,Vue.js,https://en.wikipedia.org/wiki/Evan_You
"  19 March 2022, at 04:34",Free software,Spacemacs,https://en.wikipedia.org/wiki/Spacemacs
"  19 September 2022, at 08:03",Russian-Canadian programmer (born 1994),Vitalik Buterin,https://en.wikipedia.org/wiki/Vitalik_Buterin
"  15 July 2022, at 19:37","New program, and line of software development, derived from an existing one",Fork (software development),https://en.wikipedia.org/wiki/Fork_(software_development)
"  7 September 2022, at 21:28",Family of text editors,Emacs,https://en.wikipedia.org/wiki/Emacs
"  15 June 2022, at 12:12",Software developer,Ken Manheimer,https://en.wikipedia.org/wiki/Ken_Manheimer
"  11 July 2022, at 15:51",American non-profit digital information infrastructure development organization,Corporation for National Research Initiatives,https://en.wikipedia.org/wiki/Corporation_for_National_Research_Initiatives
"  19 September 2022, at 09:25",Dutch programmer and creator of Python,Guido van Rossum,https://en.wikipedia.org/wiki/Guido_van_Rossum
"  16 September 2022, at 17:00",Freely accessible creation and refinement of computer programs,Open-source software development,https://en.wikipedia.org/wiki/Open-source_software_development
"  18 September 2022, at 18:20",Open-source blockchain computing platform,Ethereum,https://en.wikipedia.org/wiki/Ethereum
"  11 August 2022, at 18:04",Compromising a computer system,Exploit (computer security),https://en.wikipedia.org/wiki/Exploit_(computer_security)
"  4 September 2022, at 07:30",".mw-parser-output .ambox{border:1px solid #a2a9b1;border-left:10px solid #36c;background-color:#fbfbfb;box-sizing:border-box}.mw-parser-output .ambox+link+.ambox,.mw-parser-output .ambox+link+style+.ambox,.mw-parser-output .ambox+link+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+style+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+link+.ambox{margin-top:-1px}html body.mediawiki .mw-parser-output .ambox.mbox-small-left{margin:4px 1em 4px 0;overflow:hidden;width:238px;border-collapse:collapse;font-size:88%;line-height:1.25em}.mw-parser-output .ambox-speedy{border-left:10px solid #b32424;background-color:#fee7e6}.mw-parser-output .ambox-delete{border-left:10px solid #b32424}.mw-parser-output .ambox-content{border-left:10px solid #f28500}.mw-parser-output .ambox-style{border-left:10px solid #fc3}.mw-parser-output .ambox-move{border-left:10px solid #9932cc}.mw-parser-output .ambox-protection{border-left:10px solid #a2a9b1}.mw-parser-output .ambox .mbox-text{border:none;padding:0.25em 0.5em;width:100%}.mw-parser-output .ambox .mbox-image{border:none;padding:2px 0 2px 0.5em;text-align:center}.mw-parser-output .ambox .mbox-imageright{border:none;padding:2px 0.5em 2px 0;text-align:center}.mw-parser-output .ambox .mbox-empty-cell{border:none;padding:0;width:1px}.mw-parser-output .ambox .mbox-image-div{width:52px}html.client-js body.skin-minerva .mw-parser-output .mbox-text-span{margin-left:23px!important}@media(min-width:720px){.mw-parser-output .ambox{margin:0 10%}}",Ruby (programming language),https://en.wikipedia.org/wiki/Ruby_(programming_language)
"  21 August 2022, at 22:47",.mw-parser-output .hatnote{font-style:italic}.mw-parser-output div.hatnote{padding-left:1.6em;margin-bottom:0.5em}.mw-parser-output .hatnote i{font-style:normal}.mw-parser-output .hatnote+link+.hatnote{margin-top:-0.5em},R2-D2,https://en.wikipedia.org/wiki/R2-D2
"  18 September 2022, at 13:33",CS and AI Laboratory at MIT (formed by merger in 2003),MIT Computer Science and Artificial Intelligence Laboratory,https://en.wikipedia.org/wiki/MIT_Artificial_Intelligence_Laboratory
"  10 July 2022, at 14:06",".mw-parser-output .ambox{border:1px solid #a2a9b1;border-left:10px solid #36c;background-color:#fbfbfb;box-sizing:border-box}.mw-parser-output .ambox+link+.ambox,.mw-parser-output .ambox+link+style+.ambox,.mw-parser-output .ambox+link+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+style+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+link+.ambox{margin-top:-1px}html body.mediawiki .mw-parser-output .ambox.mbox-small-left{margin:4px 1em 4px 0;overflow:hidden;width:238px;border-collapse:collapse;font-size:88%;line-height:1.25em}.mw-parser-output .ambox-speedy{border-left:10px solid #b32424;background-color:#fee7e6}.mw-parser-output .ambox-delete{border-left:10px solid #b32424}.mw-parser-output .ambox-content{border-left:10px solid #f28500}.mw-parser-output .ambox-style{border-left:10px solid #fc3}.mw-parser-output .ambox-move{border-left:10px solid #9932cc}.mw-parser-output .ambox-protection{border-left:10px solid #a2a9b1}.mw-parser-output .ambox .mbox-text{border:none;padding:0.25em 0.5em;width:100%}.mw-parser-output .ambox .mbox-image{border:none;padding:2px 0 2px 0.5em;text-align:center}.mw-parser-output .ambox .mbox-imageright{border:none;padding:2px 0.5em 2px 0;text-align:center}.mw-parser-output .ambox .mbox-empty-cell{border:none;padding:0;width:1px}.mw-parser-output .ambox .mbox-image-div{width:52px}html.client-js body.skin-minerva .mw-parser-output .mbox-text-span{margin-left:23px!important}@media(min-width:720px){.mw-parser-output .ambox{margin:0 10%}}",Tech Model Railroad Club,https://en.wikipedia.org/wiki/Tech_Model_Railroad_Club
"  19 August 2022, at 22:43",American computer scientist,Bill Joy,https://en.wikipedia.org/wiki/Bill_Joy
"  28 August 2022, at 10:06",Collection of definitions from computer subcultures,Jargon File,https://en.wikipedia.org/wiki/Jargon_File
"  19 September 2022, at 12:46","

",Python (programming language),https://en.wikipedia.org/wiki/Python_programming_language
"  15 September 2022, at 01:55","American free software activist, and founder of GNU Project",Richard Stallman,https://en.wikipedia.org/wiki/Richard_Stallman
 本页面最后修订于2021年8月3日 (星期二) 06:56。,终身仁慈独裁者,终身仁慈独裁者,https://zh.wikipedia.org/wiki/%E7%BB%88%E8%BA%AB%E4%BB%81%E6%85%88%E7%8B%AC%E8%A3%81%E8%80%85
"  19 September 2022, at 15:44","US private university in Cambridge, MA (founded 1861)",Massachusetts Institute of Technology,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology
"  24 August 2022, at 03:39","American computer programmer, author, and advocate for the open source movement",Eric S. Raymond,https://en.wikipedia.org/wiki/Eric_Raymond
"  27 July 2022, at 11:56",1985 call to action to create a free computer operating system,,https://en.wikipedia.org/wiki/GNU_Manifesto
"  4 July 2022, at 16:23","

",List of computer term etymologies,https://en.wikipedia.org/wiki/List_of_computer_term_etymologies
"  23 August 2022, at 03:31",Web application that interacts with the user by dynamically rewriting a web page,Single-page application,https://en.wikipedia.org/wiki/Single-page_application
"  23 August 2022, at 10:40",.mw-parser-output .hatnote{font-style:italic}.mw-parser-output div.hatnote{padding-left:1.6em;margin-bottom:0.5em}.mw-parser-output .hatnote i{font-style:normal}.mw-parser-output .hatnote+link+.hatnote{margin-top:-0.5em},Free software movement,https://en.wikipedia.org/wiki/Free_software_community
